iso_o,iso_d,indcode,tradevalue
USA,CHN,15,8680.851435000001
BRA,EU,15,3026.9384765625
CHN,EU,15,5997.92041015625
EU,EU,15,346096.28125
IND,EU,15,3094.8076171875
JPN,EU,15,1509.970092773438
ROW,EU,15,46735.9765625
USA,EU,15,7329.59619140625
BRA,IND,15,583.4479489999999
CHN,IND,15,5334.736752000001
EU,IND,15,2603.00634765625
IND,IND,15,145572.238875
JPN,IND,15,2637.389599
ROW,IND,15,13756.4892578125
USA,IND,15,1573.195692
BRA,JPN,15,1588.649597000001
CHN,JPN,15,4790.936949000001
EU,JPN,15,2112.43798828125
IND,JPN,15,359.2930679999999
JPN,JPN,15,276288.244414
ROW,JPN,15,24427.5
USA,JPN,15,2078.611122
BRA,ROW,15,7507.93017578125
CHN,ROW,15,58125.13134765625
EU,ROW,15,43555.63671875
IND,ROW,15,12973.2431640625
JPN,ROW,15,36382.78515625
ROW,ROW,15,654210.125
USA,ROW,15,33275.109375
BRA,USA,15,4660.784329999999
CHN,USA,15,3629.263079
EU,USA,15,10402.18359375
IND,USA,15,3014.919632
JPN,USA,15,2669.549578000001
ROW,USA,15,60498.9609375
USA,USA,15,195730.944866
BRA,BRA,16,26232.845877
CHN,BRA,16,962.3981689999997
EU,BRA,16,1127.867919921875
IND,BRA,16,81.33860799999997
JPN,BRA,16,70.912943
ROW,BRA,16,766.1925048828125
USA,BRA,16,225.577287
BRA,CHN,16,92.68921700000001
CHN,CHN,16,608254.600467
EU,CHN,16,12699.267578125
IND,CHN,16,247.9913350000001
JPN,CHN,16,2941.103630999999
ROW,CHN,16,10751.294921875
USA,CHN,16,2778.510448000001
BRA,EU,16,205.6795043945313
CHN,EU,16,17279.73168945313
EU,EU,16,503436.09375
IND,EU,16,1386.695556640625
JPN,EU,16,534.05908203125
ROW,EU,16,18412.5703125
USA,EU,16,3075.322265625
BRA,IND,16,42.48740400000001
CHN,IND,16,2492.777533
EU,IND,16,1842.555541992188
IND,IND,16,47739.94622500001
JPN,IND,16,216.027688
ROW,IND,16,2278.031005859375
USA,IND,16,298.3152340000001
BRA,JPN,16,39.68540599999998
CHN,JPN,16,4427.175864999999
EU,JPN,16,1072.23974609375
IND,JPN,16,97.55008499999998
JPN,JPN,16,95367.74673000001
ROW,JPN,16,3637.32421875
USA,JPN,16,470.715911
BRA,ROW,16,1492.64453125
CHN,ROW,16,54319.69921875
EU,ROW,16,42081.046875
IND,ROW,16,3847.991455078125
JPN,ROW,16,4171.1494140625
ROW,ROW,16,456934.34375
USA,ROW,16,21246.970703125
BRA,USA,16,457.743512
CHN,USA,16,16821.385605
EU,USA,16,8726.158203125
IND,USA,16,1057.515371
JPN,USA,16,876.6506000000001
ROW,USA,16,20986.888671875
USA,USA,16,337165.722683
BRA,BRA,17,25955.042444
CHN,BRA,17,6575.756127
EU,BRA,17,1973.033081054688
IND,BRA,17,141.057141
JPN,BRA,17,568.179367
ROW,BRA,17,7477.15234375
USA,BRA,17,1610.011518
BRA,CHN,17,112.585304
CHN,CHN,17,956606.1554320001
EU,CHN,17,17658.435546875
IND,CHN,17,553.3338200000001
JPN,CHN,17,28269.74269000001
ROW,CHN,17,228535.71875
USA,CHN,17,14564.154588
BRA,EU,17,489.9088439941406
CHN,EU,17,73981.8818359375
EU,EU,17,235869.484375
IND,EU,17,2179.07275390625
JPN,EU,17,10176.111328125
ROW,EU,17,67330.359375
USA,EU,17,21271.685546875
BRA,IND,17,103.860556
CHN,IND,17,18538.158985
EU,IND,17,2844.566650390625
IND,IND,17,26588.563172
JPN,IND,17,935.496132
ROW,IND,17,10653.10546875
USA,IND,17,1575.019396
BRA,JPN,17,10.648259
CHN,JPN,17,19295.804485
EU,JPN,17,3136.395751953125
IND,JPN,17,102.65316
JPN,JPN,17,89931.70410999999
ROW,JPN,17,16845.283203125
USA,JPN,17,4323.505677
BRA,ROW,17,1409.306640625
CHN,ROW,17,238725.859375
EU,ROW,17,59891.41015625
IND,ROW,17,4853.47509765625
JPN,ROW,17,39173.4375
ROW,ROW,17,674480.4375
USA,ROW,17,60714.83203125
BRA,USA,17,267.398984
CHN,USA,17,134585.812892
EU,USA,17,22495.390625
IND,USA,17,1170.403025
JPN,USA,17,12465.618765
ROW,USA,17,131861
USA,USA,17,281110.645047
BRA,BRA,18,20069.387318
CHN,BRA,18,2591.878222999999
EU,BRA,18,1494.0830078125
IND,BRA,18,93.96969399999996
JPN,BRA,18,181.38326
ROW,BRA,18,1040.096313476563
USA,BRA,18,300.313212
BRA,CHN,18,57.325927
CHN,CHN,18,648565.5635999998
EU,CHN,18,12022.4287109375
IND,CHN,18,475.7232439999999
JPN,CHN,18,9835.453637999999
ROW,CHN,18,15278.158203125
USA,CHN,18,2074.077789
BRA,EU,18,221.9987945556641
CHN,EU,18,30597.9609375
EU,EU,18,238025.65625
IND,EU,18,1812.420166015625
JPN,EU,18,3347.555908203125
ROW,EU,18,26255.11328125
USA,EU,18,4085.308837890625
BRA,IND,18,33.283102
CHN,IND,18,10010.748717
EU,IND,18,4771.85302734375
IND,IND,18,46126.60308
